제목,글쓴이,발행일,카테고리,원문링크
성장하고 싶은 데이터 분석가를 위한 추천 도서 6권,주정민,2023-03-22,데이터,https://yozm.wishket.com/magazine/detail/1943/
모수와 표본: 모수가 이렇게 충분한데 그냥 쓰면 안 될까?,골든래빗,2023-03-20,데이터,https://yozm.wishket.com/magazine/detail/1940/
배지(badge) 주는 게 게이미피케이션은 아닙니다,말콤,2023-03-17,"기획, 비즈니스",https://yozm.wishket.com/magazine/detail/1937/
"‘이커머스’ 대표주자 쿠팡, 네이버 주문서 뜯어보기",피오리,2023-03-16,데이터,https://yozm.wishket.com/magazine/detail/1936/
어디서부터 어디까지가 UX 리서치인가요?,pxd Story,2023-03-15,"비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/1933/
"UX 라이터 포트폴리오, 이렇게 준비하세요",Maudie,2023-03-10,"IT, 비즈니스, UIUX",https://yozm.wishket.com/magazine/detail/1928/
"A/B테스트 결과, 큰 숫자가 무조건 의미 있는 건 아니다",골든래빗,2023-03-10,데이터,https://yozm.wishket.com/magazine/detail/1927/
'고객 중심'하려면 데이터툴보다 CX부터 알아야 합니다,beyond eyes,2023-03-09,"비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/1925/
ChatGPT로 하루 만에 이커머스 앱 제안서 작성하기,그릇,2023-03-03,"기획, IT, AI",https://yozm.wishket.com/magazine/detail/1917/
성장하고 싶은 주니어 기획자를 위한 추천 도서 7권,Creative Owner,2023-03-02,"기획, IT",https://yozm.wishket.com/magazine/detail/1915/
상관관계와 인과관계: 광고 덕분에 DAU가 늘었다?,골든래빗,2023-03-02,데이터,https://yozm.wishket.com/magazine/detail/1913/
"감성까지 읽어내는 UX 리서치 방법론, 디지털 에스노그라피",오의택,2023-02-23,"IT, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/1908/
"교환, 반품, 수리... 이커머스 CS 비용 어떻게 관리해야 할까?",beyond eyes,2023-02-16,"기획, 비즈니스",https://yozm.wishket.com/magazine/detail/1899/
나를 매일 성장시키는 셀프 피드백의 힘,말콤,2023-02-10,비즈니스,https://yozm.wishket.com/magazine/detail/1894/
인공지능은 기획자를 대체할 수 있을까,여행하는 기획자,2023-02-02,"기획, AI, 커뮤니케이션",https://yozm.wishket.com/magazine/detail/1882/
"미래 UX를 예측하는 방법, '미래 경험 시나리오'",오의택,2023-01-20,"비즈니스, 데이터, UIUX",https://yozm.wishket.com/magazine/detail/1871/
"우리 회사 CX, 어디까지 해야 할까?",beyond eyes,2023-01-16,기획,https://yozm.wishket.com/magazine/detail/1865/
데이터 분석가가 되어보니 중요한 것들,freak analyst,2023-01-13,"기획, 개발, 비즈니스, 데이터",https://yozm.wishket.com/magazine/detail/1863/
고객 데이터에 대한 흔한 오해,여행하는 기획자,2023-01-10,데이터,https://yozm.wishket.com/magazine/detail/1859/
NFT 기획 시 주의해야 할 9가지: 2부,크립토유치원,2023-01-02,기획,https://yozm.wishket.com/magazine/detail/1849/
PO는 무슨 일을 하나요? 10년 차 PO가 답변해드립니다,피오리,2022-12-28,"기획, 비즈니스",https://yozm.wishket.com/magazine/detail/1843/
UX 리서처는 어떤 일을 하나요?,오의택,2022-12-27,"데이터, UIUX",https://yozm.wishket.com/magazine/detail/1841/
NFT 기획 시 주의해야 할 9가지: 1부,크립토유치원,2022-12-26,기획,https://yozm.wishket.com/magazine/detail/1840/
취향이 아닌 논리로 기획하기,말콤,2022-12-19,"기획, 디자인, UIUX",https://yozm.wishket.com/magazine/detail/1831/
