제목,글쓴이,발행일,카테고리,원문링크
좋은 UI는 여백에서 완성된다,만식,2026-06-30,UIUX,https://brunch.co.kr/@0f2edcfe3d1d4c6/43?ref=surfit.io
좌우는 대칭이 아니다. (2),TEO,2026-06-30,UIUX,https://brunch.co.kr/@teo-ux/7?ref=surfit.io
색을 #2B6CB0이라 부르지 마세요,프레이,2026-06-30,"AI, UIUX",https://brunch.co.kr/@kim-yezi/17?ref=surfit.io
"세 개의 플랫폼, 하나의 배포 관측",아임웹,2026-06-30,"IT, 개발",https://tech.imweb.me/posts/unified-deploy-visibility-apm/?ref=surfit.io
"GitHub App 제대로 이해하기: OAuth App, PAT와 무엇이 다를까",Dale Seo,2026-06-30,"IT, 개발",https://daleseo.com/github-app/?ref=surfit.io
중앙일보와 JTBC가 놓친 건 콘텐츠가 아닙니다,기묘한,2026-06-30,"기획, 비즈니스",https://brunch.co.kr/@trendlite/708?ref=surfit.io
"혼자 AI로 매거진을 자동화했다: 기술은 성공, 그로스는 0",크라마 편집부,2026-06-30,"AI, 비즈니스",https://eopla.net/magazines/43986?ref=surfit.io
보상제도 손대기 전에 봐야 할 체크리스트,iid 이드,2026-06-30,협업,https://brunch.co.kr/@iid-hr/281?ref=surfit.io
최악의 아이디어로 21조원 스타트업을 만든 CEO,비주류VC,2026-06-30,비즈니스,https://eopla.net/magazines/44004?ref=surfit.io
"🤯 AI 얹은 회사 vs AI로 다시 짠 회사 - 매출 2배, 자본 40% 절감의 차이",원대로,2026-06-30,"AI, 비즈니스",https://eopla.net/magazines/44005?ref=surfit.io
광고에 AI를 쓰는 것 vs 안 쓰는 것은 이제 중요하지 않다,소마코,2026-06-30,"디자인, AI, 비즈니스",https://somako.co.kr/ai-vs-no-ai-brands-both-won/?ref=surfit.io
"낫싱 Phone (4b), 미니를 잇는 작은 스마트폰",디자인 나침반,2026-06-30,기획,https://designcompass.org/2026/06/29/nothing-phone-4b-mini-phone/?ref=surfit.io
"스레드 마케팅, 작은 브랜드가 지금 시작해야 하는 이유",One Point,2026-06-30,"디자인, 비즈니스",https://1point.kr/blog/insights/threads-marketing-guide-small-brands/?ref=surfit.io
TIPS 예산 40% 증액 - 정부 벤처지원 총정리,벤처다이제스트,2026-06-30,비즈니스,https://brunch.co.kr/@abyplus/158?ref=surfit.io
Recent: 디자인 레퍼런스 큐레이션,SEESAW ✦,2026-06-30,"IT, 디자인",https://recent.design/?ref=seesaw
Paraform: 채용 매칭 플랫폼,SEESAW ✦,2026-06-30,"기획, IT",https://www.paraform.com/?ref=seesaw
"유한킴벌리, 브랜드 서체 '푸른숲체' 공개 및 무료 배포",레이디러너,2026-06-30,"개발, 디자인",https://theladylearner.com/3688/?ref=surfit.io
"신한금융지주 ‘원앱’ 전략, 이번에는 어떻게 달라졌을까",오민선,2026-06-30,비즈니스,https://byline.network/2026/06/625213123/?ref=surfit.io
사주·별자리·풍수지리… 브랜드가 활용한 운세 마케팅 사례,수풀,2026-06-30,"디자인, 비즈니스",https://gogumafarm.kr/%EC%82%AC%EC%A3%BC%C2%B7%EB%B3%84%EC%9E%90%EB%A6%AC%C2%B7%ED%92%8D%EC%88%98%EC%A7%80%EB%A6%AC-%EB%B8%8C%EB%9E%9C%EB%93%9C%EA%B0%80-%ED%99%9C%EC%9A%A9%ED%95%9C-%EC%9A%B4%EC%84%B8-%EB%A7%88/?ref=surfit.io
디자이너는 이제 뭘 하지? — 피그마의 대답,프레이,2026-06-29,"기획, 디자인",https://brunch.co.kr/@kim-yezi/16?ref=surfit.io
"챗GPT 광고, 지금 말이 많은 3가지 이유",소마코,2026-06-29,"AI, 비즈니스",https://somako.co.kr/chatgpt-ads-3-issues/?ref=surfit.io
3만 명 자르고 1만 명 뽑는 아마존의 셈법,오즈의 지식토킹,2026-06-29,"협업, 비즈니스",https://maily.so/oz.talking/posts/5xrx8jglo2v?ref=surfit.io
리퀴드 글래스가 1년 동안 남긴 교훈? 애플이 투명도 슬라이더를 추가한 까닭은,김동욱,2026-06-29,UIUX,https://ditoday.com/%EB%A6%AC%ED%80%B4%EB%93%9C-%EA%B8%80%EB%9E%98%EC%8A%A4%EA%B0%80-1%EB%85%84-%EB%8F%99%EC%95%88-%EB%82%A8%EA%B8%B4-%EA%B5%90%ED%9B%88-%EC%95%A0%ED%94%8C%EC%9D%B4-%ED%88%AC%EB%AA%85%EB%8F%84-%EC%8A%AC/?ref=surfit.io
피그마 Config 2026 리뷰,디프렙 아카데미,2026-06-29,"디자인, UIUX",https://brunch.co.kr/@47b4ac821d894cf/32?ref=surfit.io
"누군가는 토스를 테스트하는 동안, 우리는 테스트하는 법을 만듭니다",토스,2026-06-29,"기획, 개발",https://toss.tech/article/50893?ref=surfit.io
Istio 3-1편: 503과 Half-open Connection,Channel,2026-06-29,개발,https://tech.channel.io/kr/articles/82576790?ref=surfit.io
SQLite FTS5로 전문 검색 구현하기,Dale Seo,2026-06-29,"IT, 데이터",https://daleseo.com/sqlite-fts5/?ref=surfit.io
CEO 자리에서 스스로 내려와 AI에게 회사를 맡긴 창업가,조쉬의 뉴스레터,2026-06-29,"AI, 비즈니스",https://eopla.net/magazines/43964?ref=surfit.io
참을 수 없는 UX의 저렴함,이동석,2026-06-29,"기획, UIUX",https://brunch.co.kr/@dongseok17/62?ref=surfit.io
광고비를 늘리면 왜 효율은 떨어질까,매출설계소 윤지환,2026-06-29,비즈니스,https://brunch.co.kr/@revenuelab/16?ref=surfit.io
내일 미팅에서 바로 써먹는 B2B 세일즈 미팅 팁 5개,Peter Shin,2026-06-29,"개발, 비즈니스",https://brunch.co.kr/@shndon0220/360?ref=surfit.io
"서울 국제 도서전 2026, 올해는 어땠을까? 소마코 에디터의 리얼 후기",소마코,2026-06-29,"디자인, 비즈니스",https://somako.co.kr/seoul-book-fair-2026-reach-vs-conversion/?ref=surfit.io
Ornn: AI 컴퓨트 선물·헤징 금융 인프라,Startup Gallery,2026-06-29,"기획, 개발, AI",https://ornn.com/?ref=surfit.io
"Veda, DeFi 인프라 브랜드 아이덴티티",디자인 나침반,2026-06-29,"개발, 디자인",https://designcompass.org/2026/06/24/veda-defi-infrastructure-brand-identity/?ref=surfit.io
Legend: 노트·문서·캘린더 통합 생산성 툴,SaaS landing page,2026-06-29,기획,https://www.legend.org/?ref=surfit.io
피그마 Config 2026: 디자이너의 주목 포인트 총정리,레이디러너,2026-06-26,"기획, 디자인",https://theladylearner.com/3711/?ref=surfit.io
"도구를 넘어, 기준과 책임으로",토스,2026-06-26,"기획, 협업",https://toss.tech/article/technical-writing-6?ref=surfit.io
디자이너가 앱을 직접 만들어보면 생기는 것,cognitis,2026-06-26,디자인,https://brunch.co.kr/@cognitis02/20?ref=surfit.io
삼성이 3년 만에 ChatGPT를 풀었다,성대리,2026-06-26,"AI, 비즈니스",https://brunch.co.kr/@sungdairi/112?ref=surfit.io
젠슨황으로 봉인해제된 마이크로매니징의 실체,iid 이드,2026-06-26,협업,https://brunch.co.kr/@iid-hr/280?ref=surfit.io
"챗GPT 답변에 라이선스 이미지가? 게티이미지, 오픈AI와 손잡는다",김동욱,2026-06-26,"AI, 비즈니스",https://ditoday.com/%EC%B1%97gpt-%EB%8B%B5%EB%B3%80%EC%97%90-%EB%9D%BC%EC%9D%B4%EC%84%A0%EC%8A%A4-%EC%9D%B4%EB%AF%B8%EC%A7%80%EA%B0%80-%EA%B2%8C%ED%8B%B0%EC%9D%B4%EB%AF%B8%EC%A7%80-%EC%98%A4%ED%94%88ai%EC%99%80/?ref=surfit.io
여러 언어 버전의 광고 이미지 만들기(Runway Ad Localization),데일리 프롬프트,2026-06-26,"AI, 비즈니스",https://blog.secondbrush.co.kr/dailyprompt-779/?ref=surfit.io
"Rust 모듈 시스템 큰 그림: mod, use, pub이 맞물리는 방식",Dale Seo,2026-06-26,개발,https://daleseo.com/rust-module-system/?ref=surfit.io
Core Web Vitals: 성능이 검색 노출에 미치는 실제 영향,shushushu,2026-06-26,"IT, 개발",https://tech.pxd.co.kr/posts/Core%20Web%20Vitals:%20%EC%84%B1%EB%8A%A5%EC%9D%B4%20%EA%B2%80%EC%83%89%20%EB%85%B8%EC%B6%9C%EC%97%90%20%EB%AF%B8%EC%B9%98%EB%8A%94%20%EC%8B%A4%EC%A0%9C%20%EC%98%81%ED%96%A5?ref=surfit.io
무신사와 지그재그의 만남은 우연이 아니야,기묘한,2026-06-26,비즈니스,https://brunch.co.kr/@trendlite/707?ref=surfit.io
"10분 만에 짠 코드, 3시간 넘게 검수하는 바이브코딩의 현실",매니,2026-06-26,"기획, 개발, AI",https://eopla.net/magazines/43902?ref=surfit.io
빈 유모차와 380조 원,오즈의 지식토킹,2026-06-26,비즈니스,https://maily.so/oz.talking/posts/2nznq37gzp5?ref=surfit.io
😨 투자 유치 피칭 중인데 듣던 VC가 잠들었다 - 그동안 아무도 말 못 했던 이야기,원대로,2026-06-26,비즈니스,https://eopla.net/magazines/43845?ref=surfit.io
Mintlify,SaaS landing page,2026-06-26,기획,https://www.mintlify.com/?ref=seesaw
AI를 평등하게 쓰던 시대는 끝났다,PODO,2026-06-25,"기획, AI, 비즈니스",https://brunch.co.kr/@aimuse/98?ref=surfit.io
웹플로우를 만든 40대 창업가가 AI 시대에 다시 YC를 택한 이유,조쉬의 뉴스레터,2026-06-25,"AI, 비즈니스",https://eopla.net/magazines/43800?ref=surfit.io
"Technical Writer, 사라질 결심",토스,2026-06-25,"IT, AI, 비즈니스",https://toss.tech/article/technical-writing-5?ref=surfit.io
"클로드 태그, 슬랙에 들어온 AI 팀원",디자인 나침반,2026-06-25,"기획, AI",https://designcompass.org/2026/06/24/claude-tag-slack-ai-teammate/?ref=surfit.io
일상 속에 스며든 다크패턴(Dark Patterns),위그로스 Wegrowth®,2026-06-25,"기획, UIUX",https://eopla.net/magazines/43790?ref=surfit.io
인스타그램 롱폼 영상 준비 중,디자인 나침반,2026-06-25,"기획, 비즈니스",https://designcompass.org/2026/06/24/instagram-tv-longform-episodic-live-formats/?ref=surfit.io
"네이버 쇼핑, 아마존·라쿠텐 연동 추진",성아인,2026-06-25,비즈니스,https://byline.network/2026/06/24_19228783/?ref=surfit.io
Portless로 localhost:3000 대신 이름 있는 URL 쓰기,Dale Seo,2026-06-25,"기획, 개발",https://daleseo.com/portless/?ref=surfit.io
AI Agent 시대의 분석 플랫폼: Databricks Agentic Analytics 전략,임신웅,2026-06-25,"IT, AI, 비즈니스, 데이터",https://tech.cloud.nongshim.co.kr/blog/databricks/4201/?ref=surfit.io
"😥한국 벤처, 세 번째 붐인데 왜 또 같은 자갈밭인가 - 26년차 VC가 던진 불편한 질문",원대로,2026-06-25,비즈니스,https://eopla.net/magazines/43770?ref=surfit.io
"9천억 들고 떠난 연구자, 도쿄에 남은 138명",오즈의 지식토킹,2026-06-25,비즈니스,https://maily.so/oz.talking/posts/2qzp1qxjz4x?ref=surfit.io
AI가 세상을 읽는 방식,카카오벤처스,2026-06-25,"개발, AI, 비즈니스",https://www.kakao.vc/blog/ai-modality?ref=surfit.io
"마녀공장·KFC는 박수, 투썸은 조롱 … 잘된 리브랜딩의 조건 3가지",소마코,2026-06-25,"디자인, 비즈니스",https://somako.co.kr/rebranding-success-lessons/?ref=surfit.io
YC 2026봄 데모데이: 196개 스타트업 종합 분석,벤처다이제스트,2026-06-25,"개발, 비즈니스, 데이터",https://brunch.co.kr/@abyplus/157?ref=surfit.io
"양극화·딥테크 편중 뚜렷, 2026 상반기 초기 라운드 투자 동향",더브이씨,2026-06-25,"IT, 비즈니스",https://thevc.kr/discussions/korea_startup_early_round_2026_h1?ref=surfit.io
카카오 지속가능성,GDWEB,2026-06-25,IT,https://sustainability.kakao.com/ko?ref=surfit.io
